// ConvertZZ 額外分詞表（詞|詞性|權值）。正字、錯字與其簡體詞形都寫入。不得併入套件檔。
杠太|0x100000|5
槓子|0x100000|52
杠子|0x100000|52
槓帶|0x100000|7
杠带|0x100000|7
杠帶|0x100000|7
槓或|0x100000|10
杠或|0x100000|10
槓找|0x100000|5
杠找|0x100000|5
槓時|0x100000|43
杠时|0x100000|43
杠時|0x100000|43
槓暖|0x100000|6
杠暖|0x100000|6
槓桿|0x100000|248
杠杆|0x100000|248
槓深|0x100000|43
杠深|0x100000|43
槓片|0x100000|380
杠片|0x100000|380
槓的|0x100000|70
杠的|0x100000|70
槳桿|0x100000|5
桨杆|0x100000|5
槳杆|0x100000|5
樁佈|0x100000|8
桩布|0x100000|8
樁布|0x100000|8
樑上|0x100000|61
梁上|0x100000|61
樑下|0x100000|29
梁下|0x100000|29
樑中|0x100000|5
梁中|0x100000|5
樑之|0x100000|52
梁之|0x100000|52
樑件|0x100000|6
梁件|0x100000|6
樑位|0x100000|17
梁位|0x100000|17
樑做|0x100000|5
梁做|0x100000|5
樑內|0x100000|9
梁内|0x100000|9
梁內|0x100000|9
樑和|0x100000|5
梁和|0x100000|5
樑在|0x100000|7
梁在|0x100000|7
樑寬|0x100000|7
梁宽|0x100000|7
梁寬|0x100000|7
樑已|0x100000|5
梁已|0x100000|5
樑底|0x100000|189
梁底|0x100000|189
樑或|0x100000|10
梁或|0x100000|10
樑時|0x100000|5
梁时|0x100000|5
梁時|0x100000|5
樑有|0x100000|8
梁有|0x100000|8
樑板|0x100000|31
梁板|0x100000|31
樑的|0x100000|259
梁的|0x100000|259
樑端|0x100000|14
梁端|0x100000|14
樑與|0x100000|30
梁与|0x100000|30
梁與|0x100000|30
樑跟|0x100000|9
梁跟|0x100000|9
樑邊|0x100000|5
梁边|0x100000|5
梁邊|0x100000|5
樑都|0x100000|5
梁都|0x100000|5
樑體|0x100000|8
梁体|0x100000|8
梁體|0x100000|8
樑高|0x100000|9
梁高|0x100000|9
標桿|0x100000|5
标杆|0x100000|5
標杆|0x100000|5
標準件|0x100000|41
标准件|0x100000|41
標准件|0x100000|41
標準型|0x100000|40
标准型|0x100000|40
標准型|0x100000|40
標準局|0x100000|10
标准局|0x100000|10
標准局|0x100000|10
標準時|0x100000|98
标准时|0x100000|98
標准時|0x100000|98
標準板|0x100000|6
标准板|0x100000|6
標准板|0x100000|6
標準版|0x100000|253
标准版|0x100000|253
標准版|0x100000|253
標準規|0x100000|29
标准规|0x100000|29
標准規|0x100000|29
標準間|0x100000|34
标准间|0x100000|34
標准間|0x100000|34
標準音|0x100000|16
标准音|0x100000|16
標准音|0x100000|16
標籤機|0x100000|584
标签机|0x100000|584
標簽機|0x100000|584
模後|0x100000|66
模后|0x100000|66
模稜|0x40000000|8
模棱|0x40000000|8
模稜兩可|0x100000|79
模棱两可|0x100000|79
模棱兩可|0x100000|79
樣於|0x100000|8
样于|0x100000|8
樣于|0x100000|8
樹林裡|0x100000|8
树林里|0x100000|8
樹林里|0x100000|8
機劃|0x100000|45
机划|0x100000|45
機划|0x100000|45
機採|0x100000|8
机采|0x100000|8
機采|0x100000|8
機於|0x100000|39
机于|0x100000|39
機于|0x100000|39
機殼|0x100000|1178
机壳|0x100000|1178
機殻|0x100000|1178
檔彙|0x100000|21
档汇|0x100000|21
檔匯|0x100000|21
檔於|0x100000|21
档于|0x100000|21
檔于|0x100000|21
檔桿|0x100000|6
