亮丑,亮醜
親娘,親孃
親子關系,親子關係
親子鑒定,親子鑑定
親密關系,親密關係
親屬關系,親屬關係
親幸,親倖
親戚關系,親戚關係
親緣關系,親緣關係
親自干,親自幹
人中豪杰,人中豪傑
人為萬物之靈,人爲萬物之靈
人眾勝天,人衆勝天
人前人后,人前人後
人參,人蔘
人參果,人蔘果
人參精,人蔘精
人口分布,人口分佈
人后,人後
人如風后入江云,人如風後入江雲
人才出眾,人才出衆
人權斗士,人權鬥士
人杰,人傑
人杰地靈,人傑地靈
人欲,人慾
人欲橫流,人慾橫流
人浮于事,人浮於事
人浮于食,人浮於食
人物志,人物誌
人老精姜老辣,人老精薑老辣
人際關系,人際關係
人饑己饑,人飢己飢
億余,億餘
億只,億隻
億多只,億多隻
億天后,億天後
什不閑,什不閒
什么,什麼
什錦炒面,什錦炒麪
什錦面,什錦麪
僅余,僅餘
僅占,僅佔
僅次于,僅次於
仆人,僕人
仆仆,僕僕
仆仆風塵,僕僕風塵
仆從,僕從
仆使,僕使
仆僮,僕僮
仆僮成群,僕僮成羣
仆吏,僕吏
仆固懷恩,僕固懷恩
仆夫,僕伕
仆婦,僕婦
仆姑,僕姑
仆婢,僕婢
仆射,僕射
仆射姑,僕射姑
仆少,僕少
仆役,僕役
仆憎,僕憎
仆歐,僕歐
仆程,僕程
仆雖罷駑,僕雖罷駑
仇仇,仇讎
今后,今後
介于,介於
介于兩難,介於兩難
介系詞,介係詞
介胄,介冑
從事于,從事於
從于,從於
從今以后,從今以後
從屬于,從屬於
從屬關系,從屬關係
從此以后,從此以後
從此往后,從此往後
從里到外,從裏到外
從里向外,從裏向外
侖豐村,崙豐村
侖背,崙背
侖背鄉,崙背鄉
他克制,他剋制
付托,付託
仙臺,仙台
仙巖,仙岩
仙游,仙遊
仙游縣,仙遊縣
仙跡,仙蹟
令人發指,令人髮指
以人為鑒,以人爲鑑
以眾克寡,以衆克寡
以免借口,以免藉口
以利于,以利於
以功復過,以功覆過
以古為鑒,以古爲鑑
以后,以後
以少克眾,以少克衆
以往鑒來,以往鑑來
